order	chromosome	A	type	start	end	B	strand	C	ID
1319_	chr14	.	miRNA	101531683	101531704	.	+	.	ID=MIMAT0001639;Alias=MIMAT0001639;Name=hsa-miR-409-3p;Derives_from=MI0001735
1320_	chr14	.	miRNA_primary_transcript	101531784	101531874	.	+	.	ID=MI0002464;Alias=MI0002464;Name=hsa-mir-412
1321_	chr14	.	miRNA	101531837	101531859	.	+	.	ID=MIMAT0002170;Alias=MIMAT0002170;Name=hsa-miR-412-3p;Derives_from=MI0002464
1322_	chr14	.	miRNA	101531802	101531824	.	+	.	ID=MIMAT0026557;Alias=MIMAT0026557;Name=hsa-miR-412-5p;Derives_from=MI0002464
1323_	chr14	.	miRNA_primary_transcript	101531935	101532004	.	+	.	ID=MI0000777;Alias=MI0000777;Name=hsa-mir-369
1324_	chr14	.	miRNA	101531943	101531964	.	+	.	ID=MIMAT0001621;Alias=MIMAT0001621;Name=hsa-miR-369-5p;Derives_from=MI0000777
1325_	chr14	.	miRNA	101531978	101531998	.	+	.	ID=MIMAT0000721;Alias=MIMAT0000721;Name=hsa-miR-369-3p;Derives_from=MI0000777
1326_	chr14	.	miRNA_primary_transcript	101532249	101532328	.	+	.	ID=MI0002465;Alias=MI0002465;Name=hsa-mir-410
1327_	chr14	.	miRNA	101532298	101532318	.	+	.	ID=MIMAT0002171;Alias=MIMAT0002171;Name=hsa-miR-410-3p;Derives_from=MI0002465
1328_	chr14	.	miRNA	101532262	101532282	.	+	.	ID=MIMAT0026558;Alias=MIMAT0026558;Name=hsa-miR-410-5p;Derives_from=MI0002465
1329_	chr14	.	miRNA_primary_transcript	101533061	101533138	.	+	.	ID=MI0003678;Alias=MI0003678;Name=hsa-mir-656
1330_	chr14	.	miRNA	101533103	101533123	.	+	.	ID=MIMAT0003332;Alias=MIMAT0003332;Name=hsa-miR-656-3p;Derives_from=MI0003678
1331_	chr14	.	miRNA	101533068	101533088	.	+	.	ID=MIMAT0026627;Alias=MIMAT0026627;Name=hsa-miR-656-5p;Derives_from=MI0003678
1332_	chr14	.	miRNA_primary_transcript	102026624	102026759	.	-	.	ID=MI0006382;Alias=MI0006382;Name=hsa-mir-1247
1333_	chr14	.	miRNA	102026699	102026720	.	-	.	ID=MIMAT0005899;Alias=MIMAT0005899;Name=hsa-miR-1247-5p;Derives_from=MI0006382
1334_	chr14	.	miRNA	102026663	102026686	.	-	.	ID=MIMAT0022721;Alias=MIMAT0022721;Name=hsa-miR-1247-3p;Derives_from=MI0006382
1335_	chr14	.	miRNA_primary_transcript	103005981	103006063	.	+	.	ID=MI0015837;Alias=MI0015837;Name=hsa-mir-4309
1336_	chr14	.	miRNA	103005991	103006008	.	+	.	ID=MIMAT0016859;Alias=MIMAT0016859;Name=hsa-miR-4309;Derives_from=MI0015837
1337_	chr14	.	miRNA_primary_transcript	104583742	104583851	.	+	.	ID=MI0000283;Alias=MI0000283;Name=hsa-mir-203a
1338_	chr14	.	miRNA	104583806	104583827	.	+	.	ID=MIMAT0000264;Alias=MIMAT0000264;Name=hsa-miR-203a;Derives_from=MI0000283
1339_	chr14	.	miRNA_primary_transcript	104583755	104583840	.	-	.	ID=MI0017343;Alias=MI0017343;Name=hsa-mir-203b
1340_	chr14	.	miRNA	104583805	104583826	.	-	.	ID=MIMAT0019813;Alias=MIMAT0019813;Name=hsa-miR-203b-5p;Derives_from=MI0017343
1341_	chr14	.	miRNA	104583765	104583787	.	-	.	ID=MIMAT0019814;Alias=MIMAT0019814;Name=hsa-miR-203b-3p;Derives_from=MI0017343
1342_	chr14	.	miRNA_primary_transcript	105144031	105144086	.	-	.	ID=MI0017344;Alias=MI0017344;Name=hsa-mir-4710
1343_	chr14	.	miRNA	105144060	105144077	.	-	.	ID=MIMAT0019815;Alias=MIMAT0019815;Name=hsa-miR-4710;Derives_from=MI0017344
1344_	chr14	.	miRNA_primary_transcript	105617115	105617201	.	-	.	ID=MI0022610;Alias=MI0022610;Name=hsa-mir-6765
1345_	chr14	.	miRNA	105617177	105617201	.	-	.	ID=MIMAT0027430;Alias=MIMAT0027430;Name=hsa-miR-6765-5p;Derives_from=MI0022610
1346_	chr14	.	miRNA	105617115	105617135	.	-	.	ID=MIMAT0027431;Alias=MIMAT0027431;Name=hsa-miR-6765-3p;Derives_from=MI0022610
1347_	chr14	.	miRNA_primary_transcript	106087453	106087517	.	+	.	ID=MI0025907;Alias=MI0025907;Name=hsa-mir-8071-1
1348_	chr14	.	miRNA	106087488	106087507	.	+	.	ID=MIMAT0030998;Alias=MIMAT0030998;Name=hsa-miR-8071;Derives_from=MI0025907
1349_	chr14	.	miRNA_primary_transcript	106106505	106106569	.	+	.	ID=MI0026417;Alias=MI0026417;Name=hsa-mir-8071-2
1350_	chr14	.	miRNA	106106540	106106559	.	+	.	ID=MIMAT0030998_1;Alias=MIMAT0030998;Name=hsa-miR-8071;Derives_from=MI0026417
1351_	chr14	.	miRNA_primary_transcript	106323682	106323741	.	-	.	ID=MI0016910;Alias=MI0016910;Name=hsa-mir-4539
1352_	chr14	.	miRNA	106323682	106323703	.	-	.	ID=MIMAT0019082;Alias=MIMAT0019082;Name=hsa-miR-4539;Derives_from=MI0016910
1353_	chr14	.	miRNA_primary_transcript	106324293	106324344	.	-	.	ID=MI0016871;Alias=MI0016871;Name=hsa-mir-4507
1354_	chr14	.	miRNA	106324294	106324313	.	-	.	ID=MIMAT0019044;Alias=MIMAT0019044;Name=hsa-miR-4507;Derives_from=MI0016871
1355_	chr14	.	miRNA_primary_transcript	106324334	106324411	.	-	.	ID=MI0016909;Alias=MI0016909;Name=hsa-mir-4538
1356_	chr14	.	miRNA	106324390	106324411	.	-	.	ID=MIMAT0019081;Alias=MIMAT0019081;Name=hsa-miR-4538;Derives_from=MI0016909
1357_	chr14	.	miRNA_primary_transcript	106325653	106325722	.	-	.	ID=MI0016908;Alias=MI0016908;Name=hsa-mir-4537
1358_	chr14	.	miRNA	106325701	106325722	.	-	.	ID=MIMAT0019080;Alias=MIMAT0019080;Name=hsa-miR-4537;Derives_from=MI0016908
1359_	chr14	.	miRNA_primary_transcript	107259100	107259214	.	-	.	ID=MI0018174;Alias=MI0018174;Name=hsa-mir-5195
1360_	chr14	.	miRNA	107259158	107259179	.	-	.	ID=MIMAT0021126;Alias=MIMAT0021126;Name=hsa-miR-5195-5p;Derives_from=MI0018174
1361_	chr14	.	miRNA	107259125	107259145	.	-	.	ID=MIMAT0021127;Alias=MIMAT0021127;Name=hsa-miR-5195-3p;Derives_from=MI0018174
1362_	chr15	.	miRNA_primary_transcript	21038124	21038198	.	+	.	ID=MI0014207;Alias=MI0014207;Name=hsa-mir-3118-4
1363_	chr15	.	miRNA	21038167	21038189	.	+	.	ID=MIMAT0014980_3;Alias=MIMAT0014980;Name=hsa-miR-3118;Derives_from=MI0014207
1364_	chr15	.	miRNA_primary_transcript	21145581	21145662	.	+	.	ID=MI0019308;Alias=MI0019308;Name=hsa-mir-5701-1
1365_	chr15	.	miRNA	21145590	21145608	.	+	.	ID=MIMAT0022494;Alias=MIMAT0022494;Name=hsa-miR-5701;Derives_from=MI0019308
1366_	chr15	.	miRNA_primary_transcript	22049274	22049348	.	+	.	ID=MI0015981;Alias=MI0015981;Name=hsa-mir-3118-6
1367_	chr15	.	miRNA	22049317	22049339	.	+	.	ID=MIMAT0014980_4;Alias=MIMAT0014980;Name=hsa-miR-3118;Derives_from=MI0015981
1368_	chr15	.	miRNA_primary_transcript	22156766	22156847	.	+	.	ID=MI0019593;Alias=MI0019593;Name=hsa-mir-5701-2
1369_	chr15	.	miRNA	22156775	22156793	.	+	.	ID=MIMAT0022494_1;Alias=MIMAT0022494;Name=hsa-miR-5701;Derives_from=MI0019593
1370_	chr15	.	miRNA_primary_transcript	22513229	22513280	.	-	.	ID=MI0006405;Alias=MI0006405;Name=hsa-mir-1268a
1371_	chr15	.	miRNA	22513259	22513276	.	-	.	ID=MIMAT0005922;Alias=MIMAT0005922;Name=hsa-miR-1268a;Derives_from=MI0006405
1372_	chr15	.	miRNA_primary_transcript	22675148	22675241	.	-	.	ID=MI0016873;Alias=MI0016873;Name=hsa-mir-4509-1
1373_	chr15	.	miRNA	22675203	22675224	.	-	.	ID=MIMAT0019046;Alias=MIMAT0019046;Name=hsa-miR-4509;Derives_from=MI0016873
1374_	chr15	.	miRNA_primary_transcript	23807209	23807278	.	-	.	ID=MI0016872;Alias=MI0016872;Name=hsa-mir-4508
1375_	chr15	.	miRNA	23807254	23807270	.	-	.	ID=MIMAT0019045;Alias=MIMAT0019045;Name=hsa-miR-4508;Derives_from=MI0016872
1376_	chr15	.	miRNA_primary_transcript	26093894	26093972	.	-	.	ID=MI0017349;Alias=MI0017349;Name=hsa-mir-4715
1377_	chr15	.	miRNA	26093942	26093963	.	-	.	ID=MIMAT0019824;Alias=MIMAT0019824;Name=hsa-miR-4715-5p;Derives_from=MI0017349
1378_	chr15	.	miRNA	26093905	26093927	.	-	.	ID=MIMAT0019825;Alias=MIMAT0019825;Name=hsa-miR-4715-3p;Derives_from=MI0017349
1379_	chr15	.	miRNA_primary_transcript	28671637	28671730	.	+	.	ID=MI0016874;Alias=MI0016874;Name=hsa-mir-4509-2
1380_	chr15	.	miRNA	28671654	28671675	.	+	.	ID=MIMAT0019046_1;Alias=MIMAT0019046;Name=hsa-miR-4509;Derives_from=MI0016874
1381_	chr15	.	miRNA_primary_transcript	28735898	28735991	.	-	.	ID=MI0016875;Alias=MI0016875;Name=hsa-mir-4509-3
1382_	chr15	.	miRNA	28735953	28735974	.	-	.	ID=MIMAT0019046_2;Alias=MIMAT0019046;Name=hsa-miR-4509;Derives_from=MI0016875
1383_	chr15	.	miRNA_primary_transcript	31357235	31357344	.	-	.	ID=MI0000287;Alias=MI0000287;Name=hsa-mir-211
1384_	chr15	.	miRNA	31357298	31357319	.	-	.	ID=MIMAT0000268;Alias=MIMAT0000268;Name=hsa-miR-211-5p;Derives_from=MI0000287
1385_	chr15	.	miRNA	31357262	31357282	.	-	.	ID=MIMAT0022694;Alias=MIMAT0022694;Name=hsa-miR-211-3p;Derives_from=MI0000287
1386_	chr15	.	miRNA_primary_transcript	34674270	34674351	.	-	.	ID=MI0006323;Alias=MI0006323;Name=hsa-mir-1233-1
1387_	chr15	.	miRNA	34674270	34674289	.	-	.	ID=MIMAT0005588;Alias=MIMAT0005588;Name=hsa-miR-1233-3p;Derives_from=MI0006323
1388_	chr15	.	miRNA	34674327	34674348	.	-	.	ID=MIMAT0022943;Alias=MIMAT0022943;Name=hsa-miR-1233-5p;Derives_from=MI0006323
1389_	chr15	.	miRNA_primary_transcript	34820491	34820572	.	-	.	ID=MI0015973;Alias=MI0015973;Name=hsa-mir-1233-2
1390_	chr15	.	miRNA	34820491	34820510	.	-	.	ID=MIMAT0005588_1;Alias=MIMAT0005588;Name=hsa-miR-1233-3p;Derives_from=MI0015973
1391_	chr15	.	miRNA	34820548	34820569	.	-	.	ID=MIMAT0022943_1;Alias=MIMAT0022943;Name=hsa-miR-1233-5p;Derives_from=MI0015973
1392_	chr15	.	miRNA_primary_transcript	35664457	35664565	.	-	.	ID=MI0016599;Alias=MI0016599;Name=hsa-mir-3942
1393_	chr15	.	miRNA	35664522	35664543	.	-	.	ID=MIMAT0018358;Alias=MIMAT0018358;Name=hsa-miR-3942-5p;Derives_from=MI0016599
1394_	chr15	.	miRNA	35664481	35664501	.	-	.	ID=MIMAT0019230;Alias=MIMAT0019230;Name=hsa-miR-3942-3p;Derives_from=MI0016599
1395_	chr15	.	miRNA_primary_transcript	36219057	36219124	.	+	.	ID=MI0016876;Alias=MI0016876;Name=hsa-mir-4510
1396_	chr15	.	miRNA	36219064	36219085	.	+	.	ID=MIMAT0019047;Alias=MIMAT0019047;Name=hsa-miR-4510;Derives_from=MI0016876
1397_	chr15	.	miRNA_primary_transcript	37265022	37265102	.	-	.	ID=MI0025899;Alias=MI0025899;Name=hsa-mir-8063
1398_	chr15	.	miRNA	37265032	37265053	.	-	.	ID=MIMAT0030990;Alias=MIMAT0030990;Name=hsa-miR-8063;Derives_from=MI0025899
1399_	chr15	.	miRNA_primary_transcript	41983783	41983876	.	+	.	ID=MI0003640;Alias=MI0003640;Name=hsa-mir-626
1400_	chr15	.	miRNA	41983843	41983861	.	+	.	ID=MIMAT0003295;Alias=MIMAT0003295;Name=hsa-miR-626;Derives_from=MI0003640
1401_	chr15	.	miRNA_primary_transcript	42158693	42158749	.	-	.	ID=MI0015840;Alias=MI0015840;Name=hsa-mir-4310
1402_	chr15	.	miRNA	42158703	42158718	.	-	.	ID=MIMAT0016862;Alias=MIMAT0016862;Name=hsa-miR-4310;Derives_from=MI0015840
1403_	chr15	.	miRNA_primary_transcript	42491768	42491864	.	-	.	ID=MI0003641;Alias=MI0003641;Name=hsa-mir-627
1404_	chr15	.	miRNA	42491828	42491849	.	-	.	ID=MIMAT0003296;Alias=MIMAT0003296;Name=hsa-miR-627-5p;Derives_from=MI0003641
1405_	chr15	.	miRNA	42491791	42491810	.	-	.	ID=MIMAT0026623;Alias=MIMAT0026623;Name=hsa-miR-627-3p;Derives_from=MI0003641
1406_	chr15	.	miRNA_primary_transcript	44085857	44085957	.	-	.	ID=MI0006429;Alias=MI0006429;Name=hsa-mir-1282
1407_	chr15	.	miRNA	44085930	44085949	.	-	.	ID=MIMAT0005940;Alias=MIMAT0005940;Name=hsa-miR-1282;Derives_from=MI0006429
1408_	chr15	.	miRNA_primary_transcript	45725248	45725327	.	+	.	ID=MI0005544;Alias=MI0005544;Name=hsa-mir-147b
1409_	chr15	.	miRNA	45725296	45725317	.	+	.	ID=MIMAT0004928;Alias=MIMAT0004928;Name=hsa-miR-147b;Derives_from=MI0005544
1410_	chr15	.	miRNA_primary_transcript	49461267	49461350	.	-	.	ID=MI0017350;Alias=MI0017350;Name=hsa-mir-4716
1411_	chr15	.	miRNA	49461318	49461339	.	-	.	ID=MIMAT0019826;Alias=MIMAT0019826;Name=hsa-miR-4716-5p;Derives_from=MI0017350
1412_	chr15	.	miRNA	49461276	49461297	.	-	.	ID=MIMAT0019827;Alias=MIMAT0019827;Name=hsa-miR-4716-3p;Derives_from=MI0017350
1413_	chr15	.	miRNA_primary_transcript	50652526	50652607	.	+	.	ID=MI0017346;Alias=MI0017346;Name=hsa-mir-4712
1414_	chr15	.	miRNA	50652534	50652555	.	+	.	ID=MIMAT0019818;Alias=MIMAT0019818;Name=hsa-miR-4712-5p;Derives_from=MI0017346
1415_	chr15	.	miRNA	50652582	50652602	.	+	.	ID=MIMAT0019819;Alias=MIMAT0019819;Name=hsa-miR-4712-3p;Derives_from=MI0017346
1416_	chr15	.	miRNA_primary_transcript	51534387	51534461	.	+	.	ID=MI0017347;Alias=MI0017347;Name=hsa-mir-4713
1417_	chr15	.	miRNA	51534397	51534418	.	+	.	ID=MIMAT0019820;Alias=MIMAT0019820;Name=hsa-miR-4713-5p;Derives_from=MI0017347
1418_	chr15	.	miRNA	51534430	51534451	.	+	.	ID=MIMAT0019821;Alias=MIMAT0019821;Name=hsa-miR-4713-3p;Derives_from=MI0017347
1419_	chr15	.	miRNA_primary_transcript	51606229	51606304	.	-	.	ID=MI0025749;Alias=MI0025749;Name=hsa-mir-7973-2
1420_	chr15	.	miRNA	51606285	51606304	.	-	.	ID=MIMAT0031176;Alias=MIMAT0031176;Name=hsa-miR-7973;Derives_from=MI0025749
1421_	chr15	.	miRNA_primary_transcript	51606231	51606306	.	+	.	ID=MI0025748;Alias=MI0025748;Name=hsa-mir-7973-1
1422_	chr15	.	miRNA	51606231	51606250	.	+	.	ID=MIMAT0031176_1;Alias=MIMAT0031176;Name=hsa-miR-7973;Derives_from=MI0025748
1423_	chr15	.	miRNA_primary_transcript	52569314	52569397	.	-	.	ID=MI0006403;Alias=MI0006403;Name=hsa-mir-1266
1424_	chr15	.	miRNA	52569363	52569385	.	-	.	ID=MIMAT0005920;Alias=MIMAT0005920;Name=hsa-miR-1266-5p;Derives_from=MI0006403
1425_	chr15	.	miRNA	52569328	52569349	.	-	.	ID=MIMAT0026742;Alias=MIMAT0026742;Name=hsa-miR-1266-3p;Derives_from=MI0006403
1426_	chr15	.	miRNA_primary_transcript	55665138	55665232	.	-	.	ID=MI0003642;Alias=MI0003642;Name=hsa-mir-628
1427_	chr15	.	miRNA	55665189	55665210	.	-	.	ID=MIMAT0004809;Alias=MIMAT0004809;Name=hsa-miR-628-5p;Derives_from=MI0003642
1428_	chr15	.	miRNA	55665152	55665172	.	-	.	ID=MIMAT0003297;Alias=MIMAT0003297;Name=hsa-miR-628-3p;Derives_from=MI0003642
1429_	chr15	.	miRNA_primary_transcript	59463382	59463461	.	-	.	ID=MI0010635;Alias=MI0010635;Name=hsa-mir-2116
1430_	chr15	.	miRNA	59463428	59463448	.	-	.	ID=MIMAT0011160;Alias=MIMAT0011160;Name=hsa-miR-2116-5p;Derives_from=MI0010635
1431_	chr15	.	miRNA	59463391	59463411	.	-	.	ID=MIMAT0011161;Alias=MIMAT0011161;Name=hsa-miR-2116-3p;Derives_from=MI0010635
1432_	chr15	.	miRNA_primary_transcript	62596857	62596933	.	-	.	ID=MI0025903;Alias=MI0025903;Name=hsa-mir-8067
1433_	chr15	.	miRNA	62596902	62596923	.	-	.	ID=MIMAT0030994;Alias=MIMAT0030994;Name=hsa-miR-8067;Derives_from=MI0025903
1434_	chr15	.	miRNA_primary_transcript	62635228	62635337	.	+	.	ID=MI0020362;Alias=MI0020362;Name=hsa-mir-6085
1435_	chr15	.	miRNA	62635310	62635328	.	+	.	ID=MIMAT0023710;Alias=MIMAT0023710;Name=hsa-miR-6085;Derives_from=MI0020362
1436_	chr15	.	miRNA_primary_transcript	63116156	63116240	.	+	.	ID=MI0000486;Alias=MI0000486;Name=hsa-mir-190a
1437_	chr15	.	miRNA	63116170	63116191	.	+	.	ID=MIMAT0000458;Alias=MIMAT0000458;Name=hsa-miR-190a-5p;Derives_from=MI0000486
1438_	chr15	.	miRNA	63116207	63116227	.	+	.	ID=MIMAT0026482;Alias=MIMAT0026482;Name=hsa-miR-190a-3p;Derives_from=MI0000486
1439_	chr15	.	miRNA_primary_transcript	64163129	64163218	.	-	.	ID=MI0001444;Alias=MI0001444;Name=hsa-mir-422a
1440_	chr15	.	miRNA	64163188	64163209	.	-	.	ID=MIMAT0001339;Alias=MIMAT0001339;Name=hsa-miR-422a;Derives_from=MI0001444
1441_	chr15	.	miRNA_primary_transcript	65054586	65054714	.	-	.	ID=MI0006408;Alias=MI0006408;Name=hsa-mir-1272
1442_	chr15	.	miRNA	65054670	65054695	.	-	.	ID=MIMAT0005925;Alias=MIMAT0005925;Name=hsa-miR-1272;Derives_from=MI0006408
1443_	chr15	.	miRNA_primary_transcript	66011584	66011670	.	-	.	ID=MI0016877;Alias=MI0016877;Name=hsa-mir-4511
1444_	chr15	.	miRNA	66011635	66011656	.	-	.	ID=MIMAT0019048;Alias=MIMAT0019048;Name=hsa-miR-4511;Derives_from=MI0016877
1445_	chr15	.	miRNA_primary_transcript	66332571	66332670	.	+	.	ID=MI0015841;Alias=MI0015841;Name=hsa-mir-4311
1446_	chr15	.	miRNA	66332581	66332598	.	+	.	ID=MIMAT0016863;Alias=MIMAT0016863;Name=hsa-miR-4311;Derives_from=MI0015841
1447_	chr15	.	miRNA_primary_transcript	66789296	66789372	.	-	.	ID=MI0016878;Alias=MI0016878;Name=hsa-mir-4512
1448_	chr15	.	miRNA	66789303	66789324	.	-	.	ID=MIMAT0019049;Alias=MIMAT0019049;Name=hsa-miR-4512;Derives_from=MI0016878
1449_	chr15	.	miRNA_primary_transcript	69094189	69094264	.	-	.	ID=MI0015842;Alias=MI0015842;Name=hsa-mir-4312
1450_	chr15	.	miRNA	69094199	69094217	.	-	.	ID=MIMAT0016864;Alias=MIMAT0016864;Name=hsa-miR-4312;Derives_from=MI0015842
1451_	chr15	.	miRNA_primary_transcript	70371711	70371807	.	-	.	ID=MI0003643;Alias=MI0003643;Name=hsa-mir-629
1452_	chr15	.	miRNA	70371766	70371786	.	-	.	ID=MIMAT0004810;Alias=MIMAT0004810;Name=hsa-miR-629-5p;Derives_from=MI0003643
1453_	chr15	.	miRNA	70371726	70371747	.	-	.	ID=MIMAT0003298;Alias=MIMAT0003298;Name=hsa-miR-629-3p;Derives_from=MI0003643
1454_	chr15	.	miRNA_primary_transcript	72879558	72879654	.	+	.	ID=MI0003644;Alias=MI0003644;Name=hsa-mir-630
1455_	chr15	.	miRNA	72879618	72879639	.	+	.	ID=MIMAT0003299;Alias=MIMAT0003299;Name=hsa-miR-630;Derives_from=MI0003644
1456_	chr15	.	miRNA_primary_transcript	74703698	74703773	.	-	.	ID=MI0022728;Alias=MI0022728;Name=hsa-mir-6881
1457_	chr15	.	miRNA	74703747	74703768	.	-	.	ID=MIMAT0027662;Alias=MIMAT0027662;Name=hsa-miR-6881-5p;Derives_from=MI0022728
1458_	chr15	.	miRNA	74703702	74703723	.	-	.	ID=MIMAT0027663;Alias=MIMAT0027663;Name=hsa-miR-6881-3p;Derives_from=MI0022728
1459_	chr15	.	miRNA_primary_transcript	75081013	75081098	.	-	.	ID=MI0016879;Alias=MI0016879;Name=hsa-mir-4513
1460_	chr15	.	miRNA	75081064	75081085	.	-	.	ID=MIMAT0019050;Alias=MIMAT0019050;Name=hsa-miR-4513;Derives_from=MI0016879
1461_	chr15	.	miRNA_primary_transcript	75132983	75133048	.	-	.	ID=MI0022729;Alias=MI0022729;Name=hsa-mir-6882
1462_	chr15	.	miRNA	75133022	75133043	.	-	.	ID=MIMAT0027664;Alias=MIMAT0027664;Name=hsa-miR-6882-5p;Derives_from=MI0022729
1463_	chr15	.	miRNA	75132983	75133006	.	-	.	ID=MIMAT0027665;Alias=MIMAT0027665;Name=hsa-miR-6882-3p;Derives_from=MI0022729
1464_	chr15	.	miRNA_primary_transcript	75645952	75646026	.	-	.	ID=MI0003645;Alias=MI0003645;Name=hsa-mir-631
1465_	chr15	.	miRNA	75645991	75646011	.	-	.	ID=MIMAT0003300;Alias=MIMAT0003300;Name=hsa-miR-631;Derives_from=MI0003645
1466_	chr15	.	miRNA_primary_transcript	76054556	76054656	.	-	.	ID=MI0015843;Alias=MI0015843;Name=hsa-mir-4313
1467_	chr15	.	miRNA	76054627	76054646	.	-	.	ID=MIMAT0016865;Alias=MIMAT0016865;Name=hsa-miR-4313;Derives_from=MI0015843
1468_	chr15	.	miRNA_primary_transcript	76878988	76879032	.	+	.	ID=MI0016134;Alias=MI0016134;Name=hsa-mir-3713
1469_	chr15	.	miRNA	76878988	76879007	.	+	.	ID=MIMAT0018164;Alias=MIMAT0018164;Name=hsa-miR-3713;Derives_from=MI0016134
1470_	chr15	.	miRNA_primary_transcript	79502130	79502213	.	+	.	ID=MI0000481;Alias=MI0000481;Name=hsa-mir-184
1471_	chr15	.	miRNA	79502182	79502203	.	+	.	ID=MIMAT0000454;Alias=MIMAT0000454;Name=hsa-miR-184;Derives_from=MI0000481
1472_	chr15	.	miRNA_primary_transcript	80873444	80873580	.	+	.	ID=MI0019117;Alias=MI0019117;Name=hsa-mir-5572
1473_	chr15	.	miRNA	80873520	80873540	.	+	.	ID=MIMAT0022260;Alias=MIMAT0022260;Name=hsa-miR-5572;Derives_from=MI0019117
1474_	chr15	.	miRNA_primary_transcript	81134319	81134414	.	-	.	ID=MI0003679;Alias=MI0003679;Name=hsa-mir-549a
1475_	chr15	.	miRNA	81134334	81134354	.	-	.	ID=MIMAT0003333;Alias=MIMAT0003333;Name=hsa-miR-549a;Derives_from=MI0003679
1476_	chr15	.	miRNA_primary_transcript	81289758	81289814	.	-	.	ID=MI0016880;Alias=MI0016880;Name=hsa-mir-4514
1477_	chr15	.	miRNA	81289791	81289808	.	-	.	ID=MIMAT0019051;Alias=MIMAT0019051;Name=hsa-miR-4514;Derives_from=MI0016880
1478_	chr15	.	miRNA_primary_transcript	83736087	83736167	.	+	.	ID=MI0016881;Alias=MI0016881;Name=hsa-mir-4515
1479_	chr15	.	miRNA	83736101	83736122	.	+	.	ID=MIMAT0019052;Alias=MIMAT0019052;Name=hsa-miR-4515;Derives_from=MI0016881
1480_	chr15	.	miRNA_primary_transcript	85923827	85923893	.	+	.	ID=MI0025242;Alias=MI0025242;Name=hsa-mir-7706
1481_	chr15	.	miRNA	85923870	85923893	.	+	.	ID=MIMAT0030021;Alias=MIMAT0030021;Name=hsa-miR-7706;Derives_from=MI0025242
1482_	chr15	.	miRNA_primary_transcript	86313727	86313809	.	-	.	ID=MI0006416;Alias=MI0006416;Name=hsa-mir-1276
1483_	chr15	.	miRNA	86313779	86313798	.	-	.	ID=MIMAT0005930;Alias=MIMAT0005930;Name=hsa-miR-1276;Derives_from=MI0006416
1484_	chr15	.	miRNA_primary_transcript	86368866	86368961	.	+	.	ID=MI0017875;Alias=MI0017875;Name=hsa-mir-548ap
1485_	chr15	.	miRNA	86368886	86368904	.	+	.	ID=MIMAT0021037;Alias=MIMAT0021037;Name=hsa-miR-548ap-5p;Derives_from=MI0017875
1486_	chr15	.	miRNA	86368923	86368941	.	+	.	ID=MIMAT0021038;Alias=MIMAT0021038;Name=hsa-miR-548ap-3p;Derives_from=MI0017875
1487_	chr15	.	miRNA_primary_transcript	89151338	89151428	.	+	.	ID=MI0006272;Alias=MI0006272;Name=hsa-mir-1179
1488_	chr15	.	miRNA	89151352	89151372	.	+	.	ID=MIMAT0005824;Alias=MIMAT0005824;Name=hsa-miR-1179;Derives_from=MI0006272
1489_	chr15	.	miRNA_primary_transcript	89155056	89155165	.	+	.	ID=MI0000264;Alias=MI0000264;Name=hsa-mir-7-2
1490_	chr15	.	miRNA	89155087	89155109	.	+	.	ID=MIMAT0000252;Alias=MIMAT0000252;Name=hsa-miR-7-5p;Derives_from=MI0000264
1491_	chr15	.	miRNA	89155127	89155148	.	+	.	ID=MIMAT0004554;Alias=MIMAT0004554;Name=hsa-miR-7-2-3p;Derives_from=MI0000264
1492_	chr15	.	miRNA_primary_transcript	89155078	89155155	.	-	.	ID=MI0017351;Alias=MI0017351;Name=hsa-mir-3529
1493_	chr15	.	miRNA	89155125	89155146	.	-	.	ID=MIMAT0019828;Alias=MIMAT0019828;Name=hsa-miR-3529-5p;Derives_from=MI0017351
1494_	chr15	.	miRNA	89155087	89155110	.	-	.	ID=MIMAT0022741;Alias=MIMAT0022741;Name=hsa-miR-3529-3p;Derives_from=MI0017351
1495_	chr15	.	miRNA_primary_transcript	89869970	89870041	.	-	.	ID=MI0022611;Alias=MI0022611;Name=hsa-mir-6766
1496_	chr15	.	miRNA	89870013	89870036	.	-	.	ID=MIMAT0027432;Alias=MIMAT0027432;Name=hsa-miR-6766-5p;Derives_from=MI0022611
1497_	chr15	.	miRNA	89869973	89869994	.	-	.	ID=MIMAT0027433;Alias=MIMAT0027433;Name=hsa-miR-6766-3p;Derives_from=MI0022611
1498_	chr15	.	miRNA_primary_transcript	89911248	89911337	.	+	.	ID=MI0000468;Alias=MI0000468;Name=hsa-mir-9-3
1499_	chr15	.	miRNA	89911263	89911285	.	+	.	ID=MIMAT0000441_1;Alias=MIMAT0000441;Name=hsa-miR-9-5p;Derives_from=MI0000468
1500_	chr15	.	miRNA	89911302	89911323	.	+	.	ID=MIMAT0000442_1;Alias=MIMAT0000442;Name=hsa-miR-9-3p;Derives_from=MI0000468
1501_	chr15	.	miRNA_primary_transcript	90393869	90393953	.	-	.	ID=MI0017983;Alias=MI0017983;Name=hsa-mir-5094
1502_	chr15	.	miRNA	90393922	90393943	.	-	.	ID=MIMAT0021086;Alias=MIMAT0021086;Name=hsa-miR-5094;Derives_from=MI0017983
1503_	chr15	.	miRNA_primary_transcript	90427163	90427262	.	-	.	ID=MI0017877;Alias=MI0017877;Name=hsa-mir-5009
